id,door buster,in stock,is online,launch date,has image,status code,status
1,1,0,0,12/18/2015,0,2,In Porgress
2,1,0,0,11/3/2015,0,1,Not Started
3,1,1,1,10/7/2015,0,3,Active
4,0,1,1,10/13/2015,1,2,In Porgress
5,0,1,1,12/6/2015,1,2,In Porgress
6,0,1,0,11/8/2015,0,2,In Porgress
7,1,1,1,10/9/2015,0,3,Active
8,0,0,1,12/20/2015,0,1,Not Started
9,0,0,0,11/28/2015,1,2,In Porgress
10,0,1,0,12/31/2015,0,2,In Porgress
11,0,0,0,10/21/2015,0,1,Not Started
12,1,1,0,10/15/2015,0,3,Active
13,0,1,1,10/24/2015,0,2,In Porgress
14,1,1,0,10/1/2015,1,2,In Porgress
15,1,0,1,12/8/2015,0,1,Not Started
16,1,0,0,12/28/2015,1,1,Not Started
17,1,0,1,11/9/2015,1,2,In Porgress
18,1,0,1,11/20/2015,0,2,In Porgress
19,0,1,1,11/1/2015,0,3,Active
20,1,1,1,12/29/2015,0,1,Not Started
21,1,0,1,10/13/2015,1,2,In Porgress
22,0,1,1,11/25/2015,1,3,Active
23,1,0,0,12/14/2015,0,2,In Porgress
24,0,0,1,10/6/2015,1,1,Not Started
25,1,0,1,10/14/2015,1,1,Not Started
26,1,1,1,12/2/2015,1,3,Active
27,1,0,0,11/26/2015,1,1,Not Started
28,0,1,1,12/30/2015,0,1,Not Started
29,1,1,0,10/14/2015,1,2,In Porgress
30,1,0,1,11/26/2015,0,1,Not Started
31,0,1,0,12/29/2015,0,1,Not Started
32,1,0,1,12/2/2015,0,2,In Porgress
33,1,0,0,11/8/2015,1,3,Active
34,0,0,0,11/15/2015,1,2,In Porgress
35,0,0,0,12/17/2015,1,2,In Porgress
36,1,1,1,11/1/2015,0,1,Not Started
37,0,1,0,11/7/2015,0,3,Active
38,1,0,0,12/19/2015,1,1,Not Started
39,0,1,1,12/30/2015,1,2,In Porgress
40,0,1,1,11/11/2015,0,3,Active
41,0,1,1,10/17/2015,0,2,In Porgress
42,1,0,0,10/8/2015,0,1,Not Started
43,0,0,0,11/2/2015,1,1,Not Started
44,1,1,1,11/18/2015,0,1,Not Started
45,0,1,1,10/10/2015,1,3,Active
46,1,1,0,11/6/2015,0,3,Active
47,1,1,1,11/21/2015,0,2,In Porgress
48,0,1,1,11/27/2015,1,2,In Porgress
49,0,1,0,10/15/2015,1,3,Active
50,0,0,0,12/24/2015,1,1,Not Started
51,1,1,0,10/28/2015,1,3,Active
52,1,1,0,11/21/2015,0,1,Not Started
53,1,1,0,12/21/2015,0,2,In Porgress
54,0,0,1,11/10/2015,1,3,Active
55,0,0,0,12/15/2015,0,1,Not Started
56,0,0,0,12/22/2015,0,3,Active
57,1,0,1,12/16/2015,0,1,Not Started
58,0,0,1,10/29/2015,0,1,Not Started
59,0,0,1,12/24/2015,0,1,Not Started
60,0,1,1,11/18/2015,1,3,Active
61,0,1,0,10/29/2015,0,1,Not Started
62,1,1,1,11/12/2015,1,3,Active
63,1,0,0,11/14/2015,0,3,Active
64,1,1,0,12/6/2015,0,2,In Porgress
65,0,1,1,12/11/2015,1,3,Active
66,1,0,0,10/23/2015,1,2,In Porgress
67,1,0,1,11/22/2015,1,2,In Porgress
68,1,1,1,10/3/2015,1,2,In Porgress
69,1,1,1,10/20/2015,1,3,Active
70,0,1,0,11/17/2015,1,3,Active
71,1,1,1,10/4/2015,1,3,Active
72,1,0,0,10/28/2015,1,2,In Porgress
73,0,1,0,11/1/2015,1,3,Active
74,0,0,0,10/18/2015,0,1,Not Started
75,0,1,0,12/7/2015,0,1,Not Started
76,1,0,0,10/5/2015,1,2,In Porgress
77,0,0,0,10/14/2015,0,1,Not Started
78,1,0,1,12/2/2015,0,1,Not Started
79,0,0,1,12/6/2015,1,2,In Porgress
80,0,0,0,10/17/2015,0,1,Not Started
81,1,0,0,12/5/2015,1,3,Active
82,0,0,1,10/15/2015,1,2,In Porgress
83,1,0,1,11/11/2015,0,3,Active
84,0,1,1,12/17/2015,1,1,Not Started
85,1,0,1,10/4/2015,0,3,Active
86,0,1,1,11/18/2015,0,2,In Porgress
87,1,1,1,12/18/2015,1,3,Active
88,0,1,1,11/27/2015,0,1,Not Started
89,1,1,1,12/26/2015,0,3,Active
90,0,1,1,12/31/2015,1,1,Not Started
91,1,1,0,10/27/2015,1,3,Active
92,1,1,1,12/30/2015,1,3,Active
93,1,1,1,11/15/2015,1,3,Active
94,1,0,1,10/3/2015,1,2,In Porgress
95,0,1,0,12/11/2015,1,3,Active
96,0,1,0,10/8/2015,1,3,Active
97,0,0,1,10/30/2015,0,1,Not Started
98,1,1,0,10/11/2015,0,2,In Porgress
99,1,0,0,11/16/2015,0,1,Not Started
100,1,1,1,10/28/2015,1,1,Not Started
101,0,0,0,10/29/2015,0,1,Not Started
102,0,1,1,11/17/2015,0,2,In Porgress
103,1,1,0,10/25/2015,0,1,Not Started
104,0,0,0,11/9/2015,0,2,In Porgress
105,0,0,1,10/5/2015,0,2,In Porgress
106,1,1,0,10/30/2015,0,2,In Porgress
107,0,0,1,11/16/2015,0,1,Not Started
108,0,1,1,12/29/2015,1,2,In Porgress
109,0,0,0,10/13/2015,0,1,Not Started
110,1,1,0,10/6/2015,1,3,Active
111,0,0,0,11/25/2015,0,2,In Porgress
112,1,1,0,11/16/2015,0,3,Active
113,0,0,1,11/30/2015,0,3,Active
114,0,0,1,12/10/2015,1,1,Not Started
115,0,0,1,11/17/2015,0,1,Not Started
116,1,0,0,11/21/2015,1,1,Not Started
117,1,1,0,11/30/2015,1,1,Not Started
118,1,1,1,12/23/2015,0,2,In Porgress
119,0,1,1,12/8/2015,0,3,Active
120,0,1,0,11/29/2015,1,2,In Porgress
121,1,0,0,12/25/2015,1,2,In Porgress
122,1,0,1,11/18/2015,0,3,Active
123,1,0,1,12/23/2015,0,1,Not Started
124,0,1,0,12/5/2015,1,1,Not Started
125,0,0,0,12/26/2015,1,3,Active
126,0,0,0,11/18/2015,1,2,In Porgress
127,1,0,1,11/21/2015,1,2,In Porgress
128,1,1,1,12/25/2015,0,3,Active
129,1,0,1,10/9/2015,0,2,In Porgress
130,0,1,0,11/8/2015,0,1,Not Started
131,1,0,0,12/18/2015,1,1,Not Started
132,1,0,0,12/8/2015,1,1,Not Started
133,0,0,1,11/9/2015,1,1,Not Started
134,1,1,1,11/30/2015,0,2,In Porgress
135,1,1,0,11/12/2015,0,1,Not Started
136,0,0,1,12/18/2015,1,1,Not Started
137,0,0,1,12/16/2015,0,1,Not Started
138,0,0,1,10/16/2015,0,3,Active
139,1,0,1,12/8/2015,1,2,In Porgress
140,0,0,0,10/23/2015,0,1,Not Started
141,1,0,1,12/11/2015,0,2,In Porgress
142,0,0,0,12/7/2015,1,1,Not Started
143,0,1,0,12/18/2015,0,1,Not Started
144,0,0,0,12/1/2015,0,3,Active
145,1,1,0,12/2/2015,0,1,Not Started
146,1,0,1,10/6/2015,0,1,Not Started
147,0,1,1,12/3/2015,1,1,Not Started
148,1,1,0,11/8/2015,0,3,Active
149,1,0,1,12/1/2015,1,2,In Porgress
150,0,1,1,11/15/2015,1,1,Not Started
151,0,0,1,12/19/2015,0,3,Active
152,1,0,0,10/6/2015,1,3,Active
153,1,1,0,12/19/2015,1,2,In Porgress
154,0,1,1,11/2/2015,1,2,In Porgress
155,1,0,0,12/27/2015,1,3,Active
156,0,1,1,10/3/2015,0,2,In Porgress
157,1,0,1,10/31/2015,0,2,In Porgress
158,0,1,1,11/16/2015,0,1,Not Started
159,0,0,1,10/15/2015,0,2,In Porgress
160,0,0,1,12/21/2015,0,2,In Porgress
161,0,0,1,12/26/2015,0,2,In Porgress
162,1,0,1,10/29/2015,1,2,In Porgress
163,0,1,0,11/13/2015,0,1,Not Started
164,0,0,1,11/28/2015,1,3,Active
165,0,0,1,12/16/2015,1,3,Active
166,1,0,0,10/9/2015,1,2,In Porgress
167,1,1,1,11/19/2015,1,1,Not Started
168,0,1,1,12/23/2015,0,3,Active
169,0,0,1,11/7/2015,0,3,Active
170,1,0,0,12/7/2015,1,3,Active
171,1,1,1,10/27/2015,0,3,Active
172,0,1,1,10/10/2015,1,3,Active
173,1,1,0,12/26/2015,0,2,In Porgress
174,1,1,0,10/30/2015,1,3,Active
175,0,1,0,12/29/2015,1,1,Not Started
176,0,1,1,12/22/2015,0,1,Not Started
177,1,0,1,11/24/2015,1,1,Not Started
178,1,1,1,12/28/2015,1,1,Not Started
179,1,0,1,11/17/2015,1,3,Active
180,0,0,1,12/5/2015,0,1,Not Started
181,1,1,0,11/27/2015,0,1,Not Started
182,0,1,1,12/29/2015,1,2,In Porgress
183,1,1,0,11/9/2015,1,1,Not Started
184,1,0,1,10/4/2015,1,3,Active
185,1,0,1,11/9/2015,0,3,Active
186,0,1,1,10/20/2015,0,3,Active
187,0,1,1,12/1/2015,0,1,Not Started
188,1,0,0,12/3/2015,0,1,Not Started
189,0,1,1,12/24/2015,1,3,Active
190,0,0,0,12/1/2015,0,1,Not Started
191,0,0,0,11/4/2015,0,1,Not Started
192,1,1,0,12/25/2015,0,2,In Porgress
193,0,1,0,11/18/2015,1,1,Not Started
194,0,1,0,12/25/2015,1,1,Not Started
195,0,0,0,10/27/2015,0,1,Not Started
196,0,1,0,11/16/2015,0,2,In Porgress
197,0,0,1,11/5/2015,0,2,In Porgress
198,1,1,1,10/21/2015,0,1,Not Started
199,1,1,1,12/4/2015,0,3,Active
200,1,1,1,11/16/2015,1,2,In Porgress
201,0,0,1,12/28/2015,0,2,In Porgress
202,0,0,1,10/17/2015,0,3,Active
203,1,0,0,11/7/2015,0,1,Not Started
204,0,1,0,12/15/2015,0,1,Not Started
205,1,1,0,12/30/2015,0,2,In Porgress
206,1,1,1,10/17/2015,0,3,Active
207,0,0,0,11/18/2015,1,1,Not Started
208,1,1,0,10/13/2015,0,3,Active
209,1,0,1,10/22/2015,1,3,Active
210,1,0,1,11/12/2015,1,3,Active
211,1,1,0,12/7/2015,0,3,Active
212,1,1,0,12/19/2015,1,3,Active
213,1,1,0,11/28/2015,0,2,In Porgress
214,0,0,0,10/9/2015,1,2,In Porgress
215,0,1,0,10/5/2015,1,3,Active
216,1,1,0,12/12/2015,0,2,In Porgress
217,0,0,0,11/28/2015,0,3,Active
218,1,1,1,11/6/2015,0,3,Active
219,1,0,1,11/26/2015,1,1,Not Started
220,0,0,1,11/24/2015,1,3,Active
221,0,1,0,11/28/2015,1,3,Active
222,1,0,0,10/10/2015,1,2,In Porgress
223,0,1,1,11/17/2015,1,2,In Porgress
224,0,0,0,12/24/2015,1,1,Not Started
225,0,0,0,10/15/2015,1,2,In Porgress
226,1,1,1,11/26/2015,0,3,Active
227,0,0,1,11/10/2015,1,1,Not Started
228,0,0,1,12/12/2015,0,3,Active
229,1,1,1,10/25/2015,1,3,Active
230,0,1,1,11/18/2015,0,2,In Porgress
231,0,0,1,12/11/2015,0,2,In Porgress
232,1,0,1,11/8/2015,0,2,In Porgress
233,0,0,0,11/28/2015,0,1,Not Started
234,1,0,1,12/20/2015,0,2,In Porgress
235,1,0,1,12/22/2015,1,3,Active
236,1,1,1,12/31/2015,0,2,In Porgress
237,0,1,0,10/3/2015,1,3,Active
238,0,1,1,11/19/2015,0,2,In Porgress
239,1,0,0,10/27/2015,0,3,Active
240,1,1,1,11/9/2015,0,3,Active
241,0,1,0,12/31/2015,1,3,Active
